025-01-20 00:20:47,005 - doc_processing_api - INFO - Incoming request: POST http://localhost:8001/api/v1/cv/analyze
2025-01-20 01:14:52,985 - doc_processing_api - INFO - Validation result: ValidationResult(is_valid=True, errors=[], warnings=[])
2025-01-20 01:14:52,985 - doc_processing_api - INFO - Validation result: ValidationResult(is_valid=True, errors=[], warnings=[])
2025-01-20 01:14:52,987 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/documents/analyze - Status: 200
2025-01-20 01:14:52,987 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/documents/analyze - Status: 200
2025-01-20 01:14:52,987 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/documents/analyze - Status: 200
2025-01-20 01:17:22,979 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:17:22,979 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:17:22,979 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:17:26,063 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:17:26,063 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:17:26,063 - doc_processing_api - INFO - Request completed: POST http://localhost:8000/api/v1/cv/analyze - Status: 200
2025-01-20 01:21:39,676 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:21:39,676 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:21:39,676 - doc_processing_api - INFO - Incoming request: POST http://localhost:8000/api/v1/cv/analyze
2025-01-20 01:21:39,679 - doc_processing_api - INFO - Starting CV analysis for file: Moussa_THIOR_CV_V4.pdf
2025-01-20 01:21:39,679 - doc_processing_api - INFO - Starting CV analysis for file: Moussa_THIOR_CV_V4.pdf
2025-01-20 01:21:39,679 - doc_processing_api - INFO - Starting CV analysis for file: Moussa_THIOR_CV_V4.pdf
